id,codigo_barras,nombre,laboratorio,marca,principio_activo,requiere_receta,es_generico,categoria,subcategoria,precio_bs,ventas,stock,imagen_url,fecha_extraccion
235150249,7708904877430,Cápsulas Benet Calcio Fraco x 30 und,NUTRESA FARMA,Benet,Calcio,False,False,Suplementos dietarios,Vitaminas,26900,80.0,53,https://product-images.farmatodo.com/VosqMaXpHRqzsQbwYCRgqkwpGkMBDrgMsCuzq_HE5mfrlX1Qa0Srz8aKJ0VFhBN-V95qB7HDavzFwfwyEMJmBj_3TpG_7U5d6tjRK1joFCG-iUlouQ,2026-01-20T02:43:10.498869
500018489,7708007933545,Cápsulas de Melena de León Vitalsetas VitalSetas Cápsulas x 60,VITALSETAS,VitalSetas,,false,False,Nutrición,Adultos,83900,0,927,https://product-images.farmatodo.com/dlxkhS4qcwEvE6Kq4dN-btSnes0xVq7moCVUHpSryfMq8ZQLFAy_vQuaMbwup7p97BPuKQpZpJIPUSF_PquUfVpcbUEcBamtBLRPh31t0baq2eqlFA,2026-01-20T02:43:10.499140
500018488,7708007933255,Cápsulas de Reishi VitalSetas VitalSetas Cápsulas x 60,VITALSETAS,VitalSetas,,false,False,Nutrición,Adultos,83900,0,492,https://product-images.farmatodo.com/haQly0R0F-WuASiENtxkz-s1dOws9DiRIr5LzgKUhxCDH333OWth1VeV0ZjYehMa4lvaz9TXB2mo3CrsYaLd9uc65PpXg5VaUQhOXMDkadMpMBex,2026-01-20T02:43:10.499165
500018487,7708007933842,Cápsulas de Cordyceps Vitalsetas VitalSetas Cápsulas x 60,VITALSETAS,VitalSetas,,false,False,Nutrición,Adultos,86900,0,495,https://product-images.farmatodo.com/ZhVgNt2kfoRgj4QdcTZINxm5eibZoXAorlBaF3W4_oDoW1yoT0jWgpulzbx2ezqxpigwXpSYiBycCEZK9xiDO1O0Qm-fhwrfF-Et3iNnhBFF30m9qg,2026-01-20T02:43:10.499191
500018486,7708007933712,Cápsulas de Cola de Pavo VitalSetas VitalSetas Cápsulas x 60,VITALSETAS,VitalSetas,,false,False,Nutrición,Adultos,83900,0,496,https://devfarmatodo.arcadier.io/images/items/2b4026f6-61cf-43aa-beb5-248550c9b649-oqufzsv57limg-20250806-wa0015.jpg,2026-01-20T02:43:10.499221
500018485,7708007933156,Cápsulas de Chaga VitalSetas VitalSetas Cápsulas x 60,VITALSETAS,VitalSetas,,false,False,Nutrición,Adultos,86900,0,500,https://product-images.farmatodo.com/iIH9NPL-cSIUNgNq_yg_D-dbaVLJOTptuMXI6e_f-vhUq5jsE8p8XQ6H17dsfjm2bv4-co2yjlBQnYn9o-HfFJPiNDD7Ee9Py_CCXPKyUwP_RQ4,2026-01-20T02:43:10.499244
500018483,7708007933439,Cápsulas de Shiitake VitalSetas VitalSetas Cápsulas x 60,VITALSETAS,VitalSetas,,false,False,Nutrición,Adultos,83900,0,500,https://devfarmatodo.arcadier.io/images/items/2b4026f6-61cf-43aa-beb5-248550c9b649-vals6c7kzkimg-20250806-wa0019.jpg,2026-01-20T02:43:10.499267
500018482,7708007933927,Cápsulas de Maitake VitalSetas VitalSetas Cápsulas x 60,VITALSETAS,VitalSetas,,false,False,Nutrición,Adultos,86900,0,500,https://product-images.farmatodo.com/K0_y-2AVXb7CpK0WF3DOGG4LZIiwDD07ek_cWIH7jNSb7tJca8B2ojeDV60NmKlXmOzUmpIPEhnfSsSIULsncxvODnLUaYZE9O5esZUVI-Kic4unOw,2026-01-20T02:43:10.499290
500018479,7708007933323,Cápsulas de Tremella VitalSetas VitalSetas Cápsulas x 60,VITALSETAS,VitalSetas,,false,False,Nutrición,Adultos,86900,0,1998,https://product-images.farmatodo.com/zwdUC8Y5a3veWUYEgJ3EAEtC0y4EA5bPqziPmMoyCeNBdgEOaK9LSHe_6vNmdpfqGmdQWzrm53OzUsONcfafqLtw0q0CsAjQzYGPsAHoO0gtSMZBiQ,2026-01-20T02:43:10.499314
1050676,4054839084621,Bion3 Tabletas Caja X60Tab. Merck Multivitamínico Con Prebióticos     ,P&G Health,Bion3,,,False,Suplementos dietarios,Multivitamínicos,79450,655.0,37,https://product-images.farmatodo.com/_j4cdCddNtWwdwFkSNItyCW0oehHs2bJioStjx0Vif1Qv8HQSKbQClq2GhO8E0D0MQJc4kCQFf9XlZWEFy6vUjJlf0OWSyc42tIksPl2eabz1x2h,2026-01-20T02:43:10.499495
