id,barcode,object_id,nombre,descripcion_corta,descripcion_larga,marca,categoria,subcategoria,ventas_total,cantidad_vendida,stock_actual,stock_total,sin_stock,stock_promedio,stock_maximo,tiendas_total,tiendas_sin_stock,tiendas_con_stock,cobertura_tiendas_pct,precio_bs,precio_oferta_bs,precio_prime_bs,tiene_oferta,imagen_url,requiere_receta,es_generico,solo_online,scraped_at
201900005,201900005,2019000051190,Bolsa Biodegradable   Farmatodo 8 kg x 1 und,Bolsa Biodegradable   Farmatodo 8 kg x 1 und, ,Chunky,Mascotas,Decoración fiesta,885654.0,0,40000,40000,False,556.19,44000,44,3,41,93.18,550.0,0,0,False,https://product-images.farmatodo.com/MRDXRyrpLeJtLCRFQyb7Aa84scFoCZAhmXBKPgJ_uw0XiOgFayjoyE3Im9VCIDuMJ9kE-PIJJ8IpgA_bpL-jSNNzOAX2JY7U1AHX_RSnAq6pdqW3,False,False,False,2026-01-20T02:24:40.618274
293650532,7702570009041,2936505321155,Bolsa Plástica Farmatodo ,Bolsa Plástica Farmatodo , ,Farmatodo,Otros,Textiles,121779.0,0,241352,241352,False,642.51,37564,44,8,36,81.82,184.0,147,138,True,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A,False,False,False,2026-01-20T02:24:40.618313
236700046,236700046,2367000461155,2000 Pesos De ,2000 Pesos De , ,Chunky,Mascotas,Vasos,84981.0,0,40000,40000,False,0,0,0,0,0,0,2000.0,0,0,False,https://lh3.googleusercontent.com/wiJGXTtYnsGgj6-c2MCZ2U-UyAAFFR0q9UZphCIlUYfh_h4aBxBGBDLekLnE5rS20vb15puwtXiJc5bXMU0sY_Wd_eahgFr0Gtmlb--oybZya6uW,False,False,False,2026-01-20T02:24:40.618332
293650567,7702570009034,2936505671155,Bolsa Plástica Farmatodo ,Bolsa Plástica Farmatodo , ,Farmatodo,Otros,Textiles,80358.0,0,51369,51369,False,137.36,37400,44,6,38,86.36,134.0,107,100,True,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A,False,False,False,2026-01-20T02:24:40.618340
201900072,201900072,20190007285,Bolsa Biodegradable ,Bolsa Biodegradable ,,Chunky,Mascotas,Decoración,72752.0,0,40000,40000,False,0,0,0,0,0,0,350.0,0,0,False,https://lh3.googleusercontent.com/UPW9d-lVgPp5FJFyk6WtPYcmMP417Z1747faxNGFIOhzuZ793Fx4AcCylOzZNZRBJ4XYzbBOZTb7qf42FI9jtIqkwmndTop-DlsZUWOe0-GT6D4B,,False,False,2026-01-20T02:24:40.618348
211000027,7702090042054,2110000271190,Agua Cristal EcoPack x 1 lt,Agua Cristal EcoPack x 1 lt,"Agua embotellada, agua Cristal es reconocida por ser el agua de vida que refresca los mejores momentos, que inspira a elegir lo mejor para la vida.",Cristal,Bebidas,Aguas,63847.0,0,3668,3668,False,70.61,5195,45,1,44,97.78,2450.0,0,0,False,https://product-images.farmatodo.com/3K3FyKtv_8PhzOo64rBctYLrqiDHGD3OTgwd-dbfJ4oEozSqd6aTjAHAEQd2wU6fcWcVKbVDkbUfw_no76Xe958HE4FsRk7yrZEZVVaHJnpXJrE,,False,False,2026-01-20T02:24:40.618355
236700089,236700089,2367000891190,4000 Pesos De Propina,4000 Pesos De Propina, ,Chunky,Mascotas,Vasos,57628.0,0,40000,40000,False,0,0,0,0,0,0,4000.0,0,0,False,https://product-images.farmatodo.com/ReAXllTKu-5gu2obEfGTf48nqID2jTqgFfW7559x_HzWm2g1OVD43brz_0VJt3hUcLULL0rK3s1d3ZteIHbqE0Ztqnrqfxla13CzXIMoi9HqQNY,False,False,False,2026-01-20T02:24:40.618361
1017701,7702609005372,10177011190,Agua Manantial Sin Gas Botella x 600 ml,Agua Manantial Sin Gas Botella x 600 ml,¿Sabes por qué somos un agua premiada internacionalmente?,Manantial,Bebidas,Aguas,55021.0,0,3716,3716,False,116.53,3189,45,0,45,100.0,3350.0,0,0,False,https://product-images.farmatodo.com/sLq_eb5SwP1g_iO7SxGGRisxNuqz2UJWm5VYnpPtwOn7vBDCaQuAXMBXh6M3NI6Kq5kVZT2nk_rKCl0hhzUyid6KoUVIpcBwjZDWl977ALNNJ8IR,,False,False,2026-01-20T02:24:40.618372
236700062,236700062,23670006240,3000 Pesos De ,3000 Pesos De , ,Chunky,Mascotas,Vasos,53649.0,0,40000,40000,False,0,0,0,0,0,0,3000.0,0,0,False,https://lh3.googleusercontent.com/4E_kXB_IsEBciIxvj-iQFnmnU7-dMcdeeQ9-vFtrQ0qWTo5Sgk8QmfewMwf43ZD79jcJMYA-fb9ztzEpAueT7NSxtMjySpj72DQA39pUKoFWPj0,False,False,False,2026-01-20T02:24:40.618421
269150378,1234564500037,26915037895,Ipoconsumo Fracción ,Ipoconsumo Fracción , ,Farmatodo,Otros,Libros,48404.0,0,5451,5451,False,0,0,0,0,0,0,66.0,0,0,False,None,False,False,False,2026-01-20T02:24:40.618433
236700020,236700020,2367000201190,1000 Pesos De Propina,1000 Pesos De Propina, ,Chunky,Mascotas,Vasos,42668.0,0,40000,40000,False,0,0,0,0,0,0,1000.0,0,0,False,https://product-images.farmatodo.com/ZMgBRP6cZo3lqQ87jmCF8KHMALnIb5xiDIBZspeeqddIB25YSF58-UJH-xIXl9jqu37LyVd9-ATcIUDXdSC9g-lHSPSd23Ny6QnaEOQ1Gk0aBgV4,False,False,False,2026-01-20T02:24:40.618441
