id,barcode,nombre,descripcion,laboratorio,marca,principio_activo,codigo_atc,requiere_receta,es_generico,categoria,subcategoria,precio_bs,precio_oferta_bs,ventas,stock,tiendas_total,tiendas_sin_stock,imagen_url,scraped_at
1017701,7702609005372,Agua Manantial Sin Gas Botella x 600 ml,¿Sabes por qué somos un agua premiada internacionalmente?,IND NAC GASEOSA,Manantial,Agua,,,False,Bebidas,Aguas,3350.0,0,55021.0,3716,45,0,https://product-images.farmatodo.com/sLq_eb5SwP1g_iO7SxGGRisxNuqz2UJWm5VYnpPtwOn7vBDCaQuAXMBXh6M3NI6Kq5kVZT2nk_rKCl0hhzUyid6KoUVIpcBwjZDWl977ALNNJ8IR,2026-01-20T02:35:38.212661
211700517,7501125184864,Electrolit Suero Hidratante Maracuyá Frasco x 625 ml, ,PISA OTC,Electrolit,Electrolit,,,False,Salud digestiva,Antidiarréicos y sueros,8850.0,7965,42399.0,12096,45,0,https://product-images.farmatodo.com/hPYTP0FYNqXuWnU2-xecAuU5PmS_vthi8OkxodGb1egefhyoalEEm_8dD8E2Ga1flreHGlaMT-FZ-_6fcg4aZ8aIcbo8ie3zApODF24b7MTGyFNj,2026-01-20T02:35:38.212799
1004631,7702535001752,Gaseosa Coca-Cola Sabor Original Botella x 600 ml,"Dale más sabor a tus momentos, acompáñalos con Coca-Cola Original.",IND NAC GASEOSA,Coca Cola,Gaseosa,,,False,Bebidas,Gaseosas,3750.0,0,40143.0,3120,45,0,https://product-images.farmatodo.com/GrH6Pk5kGpQqqxFt0fO3zcsC_bXyI7IX6cw-oic4oRTohGQrsx4BLrk_KdIHvFkrMQMGvxgcv3cVCatARJZQrzUj20NutlkH_2Sb2wav2kdDWMo,2026-01-20T02:35:38.212879
211000035,7702090023008,Agua Cristal Con Gas x 600 ml,"Agua gasificada Cristal, reconocida por ser el agua de vida que refresca los mejores momentos.",GASEOSAS LUX,Cristal,Agua,,False,False,Bebidas,Aguas,1850.0,0,31629.0,4957,45,4,https://product-images.farmatodo.com/4U9MuCacal5CCsIzTP5P5nq_sAbspJi7Z1kMs_7AVhGjMP7QB7KnnxZz5Qw3uK-ac8_1xicBmllbjOWpSydrue1c1QktvCPMUqe4v6Riv9_mJRPM,2026-01-20T02:35:38.212939
1045387,7591472317022,Agua Manantial 100% Mineral Natural Farmatodo x 600 ml,Agua mineral natural  sin gas x 600 ml,AGUA DE LOS PARAMOS SAS BOGOTA,Farmatodo,Agua,,,False,Bebidas,Aguas,2450.0,0,28635.0,3311,45,1,https://product-images.farmatodo.com/Ajsbh9XDExGamx0t6ZyzWgGZ7h5O9UYgKbyMwmzd4Q9SLVeQzwaZtIL5EH5OT5E-67-H7sJiLs0NYRWuxoGkqu9o3bwGy3KtX2f305PpxAQyF-7d,2026-01-20T02:35:38.212997
226300330,7702535011089,Gaseosa Coca-Cola Sabor Original Botella x 400 ml, ,IND NAC GASEOSA,Coca Cola,Gaseosa,,,False,Bebidas,Gaseosas,3550.0,0,23489.0,1658,45,1,https://product-images.farmatodo.com/mHS8v_sZ8giWdUo4JygSD9HN6OG1f1BaiMoue8fbkJLcJEurVWzsKVtWf9Q-vbMxeQhaQEA3yANB8P4MOt16xsSkdErFn-xCAdsS2bE6YQ_lO6o,2026-01-20T02:35:38.213045
284450475,7509552823943,Obsequio Sachet Serum Ácido Hialurónico x 1.5ml (Retirar en Caja), ,LOREAL MASIVOS,,Obsequio,,False,False,,,1.0,0,22740.0,20836,44,1,https://lh3.googleusercontent.com/c7BVHfLfvuvFSRqI_M10SFjjz36cMlEp_EIV_INhRqqM4ieyk5qroFMzzr8ArisXjhbhmOAEMU--Go_EgtiRCM3xNhh-xGnOm7L209rx0On1CULf,2026-01-20T02:35:38.213080
1031842,7702024034186,Galletas Cocosette Crema De Coco Paquete x 50 gr,COCOSETTE Galleta wafer rellena de crema de coco,NESTLE COLOMBIA,Cocosette,Galletas,,,False,"Dulces, chocolates, galletas, tortas y helados",Galletas,2050.0,0,22605.0,8064,44,0,https://lh3.googleusercontent.com/N5i9R0G0YIquGe5OcsjlKCMbdC6oZ2e408sEux4PlhXMjZltCTkpYhj3IlJbGl87l4zgC0S49qIPKF_hz0oy0x4cbmLoHPZucISj835eZlUzVY5m,2026-01-20T02:35:38.213117
1021569,7702609005488,Agua Manantial Con Gas Botella x 600 ml,¡Atrévete a combinar tus bebidas favoritas con un Agua de origen natural!,IND NAC GASEOSA,Manantial,Agua,,,False,Bebidas,Aguas,3350.0,0,22219.0,2269,45,0,https://product-images.farmatodo.com/YSIetbwyHwJI4y0uhdKc7S4un7nhoeCXCKrVmAM6YfNHF6mAHjg-p6nalXq2IwstVEo539uLGRP6zhhR7-VUg3ELjFjzbK-nM24A5J22Y-CmomRy,2026-01-20T02:35:38.213151
1028370,7702535006764,Gaseosa Coca-Cola Zero Botella x 600 ml,"Coca-Cola Sin Azúcar para ti, para refrescarte en los días calurosos o para simplemente acompañarte.",IND NAC GASEOSA,Coca Cola,Gaseosa,,,False,Bebidas,Gaseosas,4250.0,0,22209.0,2076,45,0,https://product-images.farmatodo.com/RVuui8_xzR14_v90DbgD0L9MrPCRZTJAr2ywQJ0sBFbRMN8FjBjlu-w3Idj4qcPmS4PbNHWjzq6JHlivTPh3M_zpt3TTMEvckbAMNCA3nxTetK_D,2026-01-20T02:35:38.213632
1054484,17501125176538,Electrolit Suero Hidratante Fresa Kiwi Frasco x 625 ml, ,PISA OTC,Electrolit,Electrolit,,,False,Salud digestiva,Antidiarréicos y sueros,8400.0,7560,21348.0,3768,44,0,https://lh3.googleusercontent.com/ri8jgdSz8IW1u6qCbzvEnaZZGGQq_X4QhylmMS4QUYEVbVHwqtjiJoZQUeUi2UzLYWF3u02XbYPIafDGsutBLfZvR6svz2jCBVKFzg50W7YJvHPZfA,2026-01-20T02:35:38.213667
258300051,7708744872091,Sérum Farmatodo Niacinamida 10% Ácido Hialurónico Zinc x 30 ml,"Serum con Niacinamida al 10% + Ácido Hialurónico + Zinc al 1%. Nuestra fórmula mejora la apariencia, textura y luminosidad de la piel. ",BRAND SOLUTIONS,,Sérum,,False,False,Cuidado de la piel,Cuidado facial,34950.0,29707,20480.0,1079,44,0,https://lh3.googleusercontent.com/WWxtq9ZFAs0lWeLHE6bIEca3gEeE1pqbeqyxGfPYtLrDTx7truDU1xMTrpKvQfuL8OB084w_0eTozp6jPPoYCL7nwKSLEqGCKp1GlcsBeuvy4bnH,2026-01-20T02:35:38.213740
1031664,7702192422051,Gatorade 02 Perform Pet Frutas Tropicales x 500 ml,"Gatorade Frutas Tropicales ofrece una buena hidratación para alcanzar un mejor rendimiento, al momento de hacer ejercicio o haber perdido carbohidratos. Con Gatorade te sentirás hidratado y así reponer todas las sales minerales y electrolitos que se pierden al sudar.",GASEOSAS LUX,Gatorade,Gatorade,,,False,Bebidas,Energizantes,3950.0,0,18112.0,1433,45,1,https://product-images.farmatodo.com/9rkDEIiBpUNF7PgRz58jrLUgaBzcwiMsGD381CbTWjiKctb8Yr4wJSg8P8-9Z04cmLNJJoCUn2xtL9rAnw6mT7qBHJotyd1c9Xd8HInBr3a2kqfn,2026-01-20T02:35:38.213822
232850231,17501125184274,Electrolit Suero Hidratante Mora Azul Frasco x 625 ml, ,PISA OTC,Electrolit,Electrolit,,,False,Salud digestiva,Antidiarréicos y sueros,8850.0,0,18038.0,5489,45,0,https://product-images.farmatodo.com/dX4-IuljWxEKEd6A-96I12XvAvVSjI8mXi2wILeEmpQ7luWn7Yqi2kfXnlVt4_jIz9IQQ1a3UZc-jJZzsBv4KYzLqy5JjCMbdEz5NMdNa_WDq6k4,2026-01-20T02:35:38.213851
1054486,17501125176545,Electrolit Suero Hidratante Uva Frasco x 625 ml, ,PISA OTC,Electrolit,Electrolit,,,False,Salud digestiva,Antidiarréicos y sueros,8850.0,0,18000.0,5051,45,0,https://product-images.farmatodo.com/c32rvux8Z5_nFNOp6ICOGzRTi5mt9r_3TsGOXsdUGDMcXVkuZeSyACwuOAhE355nWce7379oaIkR2btq2ssDICPfqoMHisyTmPR-qc9shfTKSDR2Ng,2026-01-20T02:35:38.213877
1051907,7702090020847,Bebida Carbonatada Bretaña x 300 ml,"Bretaña es un producto de Postobón. Bebida perfecta para acompañar tus mejores momentos, gracias a su sabor tipo soda, esta bebida es ideal para combinar sabores y deleitar una bebida con un toque de gas y lo refrescante del agua.",GASEOSAS LUX,Bretaña,Bebida,,,False,Bebidas,Aguas,2950.0,0,17571.0,1476,45,1,https://product-images.farmatodo.com/mouOM2OrAaTHBkY12a9ADxESIJeQ0APuHXkYqKvYKxveyXSZX6h0ZAJnRHxLI32in5Fu7q5VU4b-4c7VABT7MVsOqI8YVgy1ZogRCLrH5vB6AqPQ,2026-01-20T02:35:38.213931
1026120,7702535005354,Gaseosa Coca-Cola Sabor Original Lata x 330 ml,¿Coca-Cola con amigos? Siente el sabor de compartir con los que quieres.,IND NAC GASEOSA,Coca Cola,Gaseosa,,,False,Bebidas,Gaseosas,3750.0,0,16752.0,1380,45,0,https://product-images.farmatodo.com/u_3AbRgdSy68DGaNHOCKbFpR6SYZYwO2f12SDXZoiKe8Qn8yhdObnbZkrRt0u_T2biTdGrew2gP2qwAhS8plIqfPae2cMEnxkLqjqwT3x2TGLwgP1g,2026-01-20T02:35:38.213992
1025213,7509546000985,CREMA DENTAL COLGATE TRIPLE ACCIÓN MENTA ORIGINAL X99G REEMP1048252,"Triple beneficio, protección, blancura y frescura",COLGATE PALMOLI,Colgate,,,,False,Cuidado bucal,Cremas dentales,5350.0,0,13954.0,1036,45,1,https://product-images.farmatodo.com/qZQB3-c5XFQDhm3ntl_p_aCl5bpi-O4eEqRsSefLXl3f31zZo2ogDSpqMWuMTgHDFg33MkOL6isBCVzCqAeaZv4njBZpkgmXdZi2cX8cHVgOWJ1M,2026-01-20T02:35:38.214077
223600257,7702535013212,Agua Saborizada Brisa Con Gas Manzana Botella x 600 ml, ,IND NAC GASEOSA,Brisa,Agua,,,False,Bebidas,Aguas,2850.0,0,13939.0,980,45,1,https://product-images.farmatodo.com/xehIZd3nkBXLY6MvLP6qyo2L3BEUeml3oX2Et2DSQSWzLPTczjq2Gc9Hl2Y-9e6rs73wM3Fm2B5kL6x-uugdEGVg29duVekv5myTxQhvS1c7bH1e,2026-01-20T02:35:38.214111
1000409,7451079001543,Dolex Gripa Acetaminofen + Clorfeniramina + Fenilefrina 500mg/2mg/5mg x 12 Tabletas,Dolex Gripa  Alivia los MULTISÍNTOMAS de la Gripa X 12 tab,HALEON OTC,Dolex,Dolex,,,False,Tratamiento de la gripa,Resfriado y gripa,18050.0,0,13811.0,1460,45,0,https://product-images.farmatodo.com/OYFs9uAPacUxrZs2a-8RhpOwUCHVU_x_8KJFcFge-wmF5u1UQYR8YhyMQNMCIALJ-480o8UMsJ9hNoPwDJCw-DuvZ7JMEtMcUPUvOcCCiCGrIYc,2026-01-20T02:35:38.214144
1054483,17501125176477,Electrolit Suero Hidratante Fresa Frasco x 625 Ml, ,PISA OTC,Electrolit,Electrolit,,,False,Salud digestiva,Antidiarréicos y sueros,8700.0,6960,13702.0,2151,44,0,https://lh3.googleusercontent.com/1eCgUV3OXtDEvHpwgPdEsyfmCZuuFgScrrnpD-l2LI9byaoB0bq3KqHfrKLkmhP5lMYwXTxkJ7brMTV9PakwCznNppX3eLqbvx3EyBC7O-3zShI,2026-01-20T02:35:38.214175
258350016,7708744872022,Sérum Farmatodo Con Vitamina C x 30 ml,Serum de rápida absorción con Vitamina C estabilizada con Oro Coloidal para su efectiva absorción en la piel. Está potencializado con Gluthathione para neutralizar el estrés oxidativo y evitar el envejecimiento prematuro.,BRAND SOLUTIONS,Farmatodo,Sérum,,False,False,Cuidado de la piel,Cuidado facial,34950.0,27960,13087.0,476,44,8,https://lh3.googleusercontent.com/hnFldNBjsV01yhqniYqYpRn1r8fepAddSH5WAaXuU56yJB9DbCh1ZsjrWSuCCr6ed59vNaj96A-_qeGAKGE30pntl4On2N2R6oqrcxSTYuq_UjeI,2026-01-20T02:35:38.214252
1051527,7702354934361,Bebida Energizante Vive 100% Extracto Te + Guaraná x 380 ml,Bebida energizante sabor Original 300 ml,QUALA S.A.,Vive 100,Bebida,,,False,Bebidas,Energizantes,2850.0,2280,12946.0,634,44,2,https://product-images.farmatodo.com/gL5brxeVHSNo_8hCDDoZmRGl44yXDORKXd4F2nzjRN-UA7BEjCGS13t-Mvak7EG2eptqbB1-cmQqrTCPfHd7QszYXAwq8LEbpQ,2026-01-20T02:35:38.214294
