Ácido Ursodesoxicólico 300 mg Ursocol Laboratorios Zuzu x 10|Ursocol
Vitafer-L Solucion Oral|Calox
Clotrimazol 1% Imazol Siegfried Crema Tópica x 20 gr|Siegfried
Unknown|Now
Desogestrel 0,075 mg Celestrel Tiares|Tiares
Vitamina C|Unknown
Acetaminofen + Clorfeniramina + Cafeína Angrip Día 8|Megalabs
Venpielgel Skinreg|Unknown
Vitamina C Mandarina 500 mg + Zinc Combo 3x2|Unknown
Esomeprazol|Unknown
Colageno + Vit C 60capsulas Natural Systems|Natural Systems
Chía Pantera|Pan
Acetaminofen + Clorfeniramina Dayflu Noche|Unknown
Cetilpiridinio + Bencidamina Solunovar Compuesto 0,25mg/0,15mg|La Santé
Crema de Cacao y|Unknown
Aceite Ozonizado Tópico Vitaozono x 15 ml|Unknown
Complemento Alimenticio Calcium 600 + D3 100|Unknown
Unknown|Now
Unknown|Now
Furosemida|Unknown
Formula Magistral Farmatodo Champú Piritionato de zinc Frasco x 120 ml|Farmatodo
Omeprazol 20 mg Genven|Leti
Olmesartán Medoxomil 20 mg Genven|Leti
Solución Cloruro De Sodio al 0,9% Flexi-Behr Behrens Frasco x 500 ml|Behrens
Losartán Potásico 50 mg Genven|Leti
Acetaminofén + Tramadol|Unknown
Valsartan Novartis|Novartis
Dequalinio + Lidocaina Benzodiazol Limon 0,25/5Mg|La Santé
Hierro|Unknown
Amoxicilina 500 mg FAHD Blíster x 10 Cápsulas|FAHD
Cinta Kinesiologica Go Plus 1 Metro Color Azul|Unknown
Amitriptilina|Unknown
Snack Simply7 Chips de Lentejas con Sal Marina|Unknown
Manga de Compresion Fria KT Tape Talla S/M|Unknown
Cabestrillo Kx Talla L|Unknown
Castaño De Indias + Caléndula + Centella Asiática Venasplant Jerico x 30 Cápsulas|Jerico
Dextrometorfano Tilodrin|Unknown
Olmesartan Medoxomil 40 mg Genven|Leti
Amlodipina|Unknown
Levotiroxina Sodica 50mcg Eutirox Merck|Siegfried
Hierro + Ácido Fólico|Unknown
Hioscina + Ibuprofeno|Unknown
Magnevit|Unknown
Mancuernas Dixson 1kg 2 Und|Dixson
Suplemento alimenticio Enterex Vainilla Polvo|Enterex
Ácido Fólico 5 mg Plusandex x 30|Plusandex
Alimento Proteina Nutricap Keratine 1 Mes|Unknown
Diosmina 600 mg Bresis Megalabs|Megalabs
Rivaroxabán 15 mg Rivaprof Valmor|Valmor
Amlodipina 10 mg Calox|Calox
Atorvastatina 20 mg Genven|Leti
Ciprofloxacina|Unknown
Clopidogrel 75 mg La Santé|La Santé
Ácido Fólico 10 mg Genven x 30|Leti
Magnesio 4x Magnevit Advanced 500 mg Naturlife´s Frasco x 50|Naturlife
